id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1056,Nam Yam,Hydro,Planned,5.0,,South Korea,DMD Company Ltd (South Korea),,,,,Laos,Louang Namtha,Namtha,Nam Tha,21.00805,101.4072,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1057,Nam Yang,Hydro,Planned,5.0,,Thailand,Pongpad Construction Transport and Hydropower Company Ltd (Thailand),,,,,Laos,Xaignabouri,Xayabury,Nam Huong,19.39639,101.5231,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 28/6/2012,,
1058,Nam Yerng,Hydro,Planned,15.0,,Thailand,Tamtum (Thailand),,,,,Laos,Xékong,Lamarm,Sekong,15.57694,107.0064,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU 27/6/2012,,
1059,Nam Yerng 5,Hydro,Planned,8.0,,Thailand,MP (Thailand),,,,,Laos,Xékong,Lamarm,Sekong,15.57694,107.0064,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU 02/05/2014,,
1060,Nam Yerng 7,Hydro,Planned,12.0,,Thailand,MP (Thailand),,,,,Laos,Xékong,Lamarm,Sekong,15.57694,107.0064,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU 16/07/2014,,
1061,Nam Yong,Hydro,Planned,9.0,,Thailand,Naktao 2010 Company (Thailand),,,,,Laos,Houaphan,Xamneua,Nam Sam (Laos) - Chu (Vietnam),20.32556,104.1,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 31/10/2013,,
1062,Nam Yong,Hydro,Planned,5.0,,Thailand,Sukkasem Construction and Transport Company Ltd (Thailand),,,,,Laos,Bolikhamxai,Viengthong,Nam Kading-Xe Bang Fai combined,18.43694,104.4722,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU 31/12/2014,,
1063,Nam Yong 8,Hydro,Operational,60.0,2012.0,Norway; Thailand; Laos,"EDL 60 PCT (Laos), GMS Power 20 PCT (Thailand), Statkraf 20 PCT (Norway)",,,,,Laos,Bolikhamxai,Khamkheuth,Nam Kading-Xe Bang Fai combined,18.2947,104.642,,,"Ministry of Energy and Mines, Lao PDR",,,
1064,Namhtwan (Upper),Hydro,Operational,3.2,2019.0,Myanmar,MOEP (Myanmar),,,Switzerland,STUCKY SA (Switzerland),Myanmar,Kachin,Putao,Mali Hka,27.26976,97.40328,,,Myanmar Institute for Peace and Security,"https://www.mmbiztoday.com/articles/upper-namhtwam-hydropower-project-deliver-800-kilowatt-electricity-2018-april, https://www.globalnewlightofmyanmar.com/upper-namhtwam-hydropower-project-to-benefit-putao-residents/, https://www.globalnewlightofmyanmar.",,
1065,Namjae Tomlum 1,Hydro,Under Construction,15.0,2019.0,Laos,Right To Lao (Laos),,,,,Laos,Louang Namtha,Namtha,Nam Tha,21.00805,101.4072,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 26/7/2012,,
1066,Namjae Tomlum 2,Hydro,Under Construction,7.5,2019.0,Laos,Right To Lao (Laos),,,,,Laos,Louang Namtha,Namtha,Nam Tha,21.00805,101.4072,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",Signed MOU on 26/7/2012,,
1067,Namkha (Nam Hka),Hydro,Planned,210.0,,China,China Southern Power Grid Yunnan International Co,,,,,Myanmar,Shan,Lasho,Nam Hka,21.70243,98.9521,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,,
1068,Namnom 1,Hydro,Under Construction,7.3,2018.0,Thailand,Phongsapthawi and Chonlapathan Company Ltd (Thailand),,,,,Laos,Houaphan,Xamneua,Nam Sam (Laos) - Chu (Vietnam),20.32556,104.1,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1069,Nampatay,Hydro,Under Construction,14.0,2016.0,Laos,DSK,,,,,Laos,Champasak,Pathoomphone,Mekong Mainstream - Lower,14.66278,105.9689,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1070,Nampatay (Lum),Hydro,Under Construction,3.0,2016.0,Thailand,Visahasuanbukkhon Songsermhattaka (Thailand),,,,,Laos,Houaphan,Xamneua,Nam Sam (Laos) - Chu (Vietnam),20.32556,104.1,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1071,Namperm 1,Hydro,Under Construction,9.2,2017.0,Thailand,"Phongsapthawi Construction Company (Thailand), Devasatarn, Simsapatarn Ltd (Thailand)",,,,,Laos,Houaphan,Xamneua,Nam Sam (Laos) - Chu (Vietnam),20.32556,104.1,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1072,Namsay,Hydro,Planned,5.0,,Laos,Vientiane Tangmo Construction Ltd (Laos),,,,,Laos,Bolikhamxai,Viengthong,Nam Kading-Xe Bang Fai combined,18.51878,104.4353,"Actual location unknown, currently sited at locality in link/announcement",,"Ministry of Energy and Mines, Lao PDR",,,
1073,Namtabat 1 (Nam Tabak I),Hydro,Planned,141.0,,China; Myanmar,"China Guodian, Tun Thwin Mining",,,China; Myanmar,China Guodian (China)/Tun Thwin Mining(Myanmar),Myanmar,Kachin,Myitkyina,Irrawaddy Mainstem and Delta,25.08845,97.71816,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,,
1074,Namtabat 2 (Nam Tabak II),Hydro,Planned,144.0,,China; Myanmar,"China Guodian, Tun Thwin Mining",,,China; Myanmar,China Guodian (China)/Tun Thwin Mining(Myanmar),Myanmar,Kachin,Myitkyina,Irrawaddy Mainstem and Delta,25.1105,97.67721,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl,,
1075,Nancho,Hydro,Operational,40.0,2010.0,China,Yunnan Machinery & Equipment Import & Export Co. (YMEC) (China),,,,,Myanmar,Mandalay,Yamethin,Paunglaung Chaung,19.7412,96.45049,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES,,
1076,Nansha dam,Hydro,Operational,150.0,2010.0,China,Honghe Guangyuan Development Co. Ltd.；,China,,China,"#2 Guangdong Water and Hydropower Bureau, Xiantou City Naiyuan Construction Co. Litd, Dongguan City Changyuan Co. Ltd",China,Yunnan,Honghe Hani and Yi,Red Mainstem and Delta,23.22982,102.855,,,Global Power Plants Database,,https://baike.baidu.com/item/%E5%8D%97%E6%B2%99%E6%B0%B4%E7%94%B5%E7%AB%99,
1077,Naopha (Naung Pha),Hydro,Planned,1200.0,,China; Myanmar,"Power Construction Corporation (China), International Group of Entrepreneurs (Myanmar)",,,China,HydroChina Corp.,Myanmar,Shan,Lasho,Salween Mainstem,22.98746,98.49915,,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl; https://data.mendeley.com/datasets/ht9k5p3vdb/1,,03/31/2021
1078,Naresuan Dam,Hydro,Operational,8.0,,Thailand,EGAT (Thailand),,,,,Thailand,Phitsanulok,Phrom Phiram,Nan,17.053,100.1724,,,EGAT,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=485,,
1079,Natcore (nhà máy điện mặt trời Natcore),Solar,Planned,200.0,2016.0,USA,Natcore Technology (USA),,,,,Vietnam,Bình Thuận,Phan Thiết,Coastal Tributaries Binh Thuan-Ba Ria-Vung Tau,10.93287,108.1118,"Actual location unknown, currently sited at locality in link/announcement",,EVN,https://gwsolar.vn/natcore-nhan-duoc-su-chap-thuan-xay-nha-may-dien-mat-troi-200mw-tai-viet-nam/,,
1080,"National Power Plant 11 Co., Ltd.",Biomass,Unknown,11.0,,Thailand,"National Power Plant 11 Co., Ltd.",,,,,Thailand,Phetchabun,Wichian Buri,Pasak,15.72464,101.2995,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,Black liquor,http://www.egat.co.th/en/images/statistics/2556/eng-private-power-plant-dec56.pdf,
1081,"National Power Plant 2 Co., Ltd.",Biomass,Unknown,8.0,,Thailand,"National Power Plant 2 Co., Ltd.",,,,,Thailand,Phetchabun,Wichian Buri,Pasak,15.72464,101.2995,"Actual location unknown, currently sited at locality in link/announcement",,EGAT PDP,"Rice husk, wood chips",http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,
1082,"National Power Plant 3 Co., Ltd",Biomass,Unknown,41.0,,Thailand,"National Power Plant 3 Co., Ltd",,,,,Thailand,Phetchabun,Wichian Buri,Pasak,15.72464,101.2995,"Actual location unknown, currently sited at locality in link/announcement",,EGAT PDP,"Rice husk, wood chips",http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,
1083,"National Power Plant 5 Co., Ltd.",Biomass,Unknown,50.0,,Thailand,"National Power Plant 5 Co., Ltd.",,,,,Thailand,Phetchabun,Wichian Buri,Pasak,15.72464,101.2995,"Actual location unknown, currently sited at locality in link/announcement",,EGAT,"Bark, wood chips, black liquor",http://www.egat.co.th/en/images/statistics/2556/eng-private-power-plant-dec56.pdf,
1084,National Solar Park Project,Solar,Under Construction,100.0,2021.0,Cambodia,EdC,ADB,ADB,Cambodia,Prime Road Alternative,Cambodia,Kampong Chhnang,Kampong Chhnang,Mekong Mainstrem - Lower Tonle Sap,12.26139,104.6761,,,IUCN,https://www.adb.org/news/adb-partner-cambodia-launch-national-solar-park-program; https://www.adb.org/sites/default/files/project-documents/51182/51182-001-rp-en_2.pdf; https://www.adb.org/projects/51182-001/main#project-pds; https://www.adb.org/news/adb-partner-cambodia-launch-national-solar-park-program; https://www.adb.org/sites/default/files/project-documents/51182/51182-001-rp-en_2.pdf; https://www.adb.org/projects/51182-001/main#project-pds; https://www.phnompenhpost.co; https://www.khmertimeskh.com/714008/adb-supported-solar-project-on-the-horizon/; https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/,,12/28/2020
1085,Ngan Tae,Gas,Operational,230.0,2014.0,Myanmar,Myanmar Lighting (Myanmar),Thailand; Singapore,Siamgas and Petrochemicals Public Company (Thailand); United Overseas Bank (Singapore),Singapore,Asiatech Energy (Singapore),Myanmar,Mon,Mawlamyine,Zami,16.46652,97.65421,,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/299, https://www.mmtimes.com/business/19130-private-gas-fired-power-project-adds-230mw-to-national-grid.html; https://www.mmtimes.com/business/21535-thai-firm-to-invest-in-mawlamyine-power-plant.html https://www.irra",,
1086,Ngaphaipi,Hydro,Planned,30.0,,China,PowerChina International (China),,,,,Myanmar,Chin,Palam,Lemyo,22.22996,93.23874,"Actual location unknown, currently sited at locality in link/announcement",,,,,
1087,Ngayokekaung,Coal,Planned,540.0,,Myanmar; Japan,"A1 Group, Mitsubishi Corp.",,,,,Myanmar,Ayeyarwady,Bassein,Irrawaddy Mainstem and Delta,16.53778,94.69361,"Actual location unknown, currently sited at locality in link/announcement",,Myanmar Institute for Peace and Security,https://www.irrawaddy.com/news/burma/irrawaddy-division-coal-power-plant-grounded-on-local-pushback.html; https://www.sourcewatch.org/index.php/Nga_Yoke_Kaung_power_station,,
1088,Nghi Son 1 (Nhà máy Nhiệt điện Nghi Sơn 1),Coal,Operational,600.0,2014.0,Vietnam,"EVN, Tập đoàn Điện lực Việt Nam Genco No 1",Japan,JICA,Japan,Marbeni (Japan),Vietnam,Thanh Hóa,Tĩnh Gia,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.31628,105.8009,,,Sourcewatch,https://www.sourcewatch.org/index.php/Nghi_Son_power_station,,
1089,Nghi Son 2 (Nhà máy Nhiệt điện Nghi Sơn 2),Coal,Under Construction,1200.0,2022.0,Japan; South Korea,Marubeni Corporation (Japan) & Korea Electric Power Company (South Korea) Tập đoàn Điện lực Hàn Quốc và Tập đoàn Marubeni,South Korea; Japan; Singapore; Malaysia,Export-Import Bank of Korea (Kexim); Japan Bank for International Cooperation (JBIC); DBS Bank (Singapore); Mizuho (Japan); MUFG (Japan); SMBC (Japan); Shinsei Bank (Japan); OCBC (Singapore); Maybank (Malaysia),,,Vietnam,Thanh Hóa,Tĩnh Gia,"Vietnam Coastal Rivers Thanh Hoa, Nghe An",19.31628,105.8009,,,Sourcewatch,https://www.sourcewatch.org/index.php/Nghi_Son_power_station; https://www.marubeni.com/en/news/2013/release/00011.html; http://nangluongvietnam.vn/news/vn/dien-luc-viet-nam/tinh-hinh-thuc-hien-cac-du-an-dien-theo-hinh-thuc-bot-o-viet-nam.html,,03/29/2021
1090,Ngoi Hut 1,Hydro,Operational,8.4,2011.0,Vietnam,Song Hong Joint Stock Corporation,,,,,Vietnam,Yên Bái,Văn Yên,Ngo Sui,21.8093,104.4361,,36000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-1-Hydropower,,
1091,Ngoi Hut 2,Hydro,Operational,48.0,2014.0,Vietnam,Truong Thanh Investment Construction and Development JSC,,,,,Vietnam,Yên Bái,Mù Căng Chải,Ngo Sui,21.7938,104.3324,,209000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-2-Hydropower,,
1092,Ngoi Phat,Hydro,Operational,72.0,2014.0,Vietnam,VINACONEX (Vietnam); Northern Electricity development and investment JSC. No.2,,,Vietnam,VINACONEX (Vietnam),Vietnam,Lào Cai,Bát Xát,Red Mainstem and Delta,22.55455,103.7436,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/ngoi-phat-Hydropower,,
1093,Ngoi Xan 1,Hydro,Operational,10.5,2007.0,Vietnam,Nam Tien Lao Cai JSC.,,,,,Vietnam,Lào Cai,Bát Xát,Red Mainstem and Delta,22.4734,103.8729,,42000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-xan-1-Hydropower,,
1094,Ngoi Xan 2,Hydro,Operational,8.0,2008.0,Vietnam,Nam Tien Lao Cai JSC.,,,,,Vietnam,Lào Cai,Bát Xát,Red Mainstem and Delta,22.4754,103.8595,,75000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-xan-2-Hydropower,,
1095,Nhi Ha Bitexco (Nhà máy điện mặt trời Nhị Hà Bitexco),Solar,Planned,50.0,2019.0,Vietnam,CT TNHH MTV Solar Power Ninh Thuận,,,,,Vietnam,Ninh Thuận,Thuận Nam,Song Cai Phan Rang,11.42311,108.8033,,60000,Sponsor Website,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_Nh%E1%BB%8B_H%C3%A0,,
1096,Nhi Ha Thuan Nam 13 (Nhà máy điện mặt trời Nhị Hà Thuận Nam 13),Solar,Planned,50.0,2019.0,Vietnam,CT TNHH MTV Solar Power Ninh Thuận,,,,,Vietnam,Ninh Thuận,Thuận Nam,Song Cai Phan Rang,11.42311,108.8033,,80000,Sponsor Website,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_Nh%E1%BB%8B_H%C3%A0,,
1097,Nho Que 1,Hydro,Under Construction,36.0,,Vietnam,Northern Electrical Development (Vietnam),,,,,Vietnam,Hà Giang,Mèo Vạc,Pearl,23.23078,105.4305,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
1098,Nho Que 2,Hydro,Operational,48.0,,,,,,,,Vietnam,Hà Giang,Mèo Vạc,Pearl,23.16916,105.503,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
1099,Nho Que 3,Hydro,Operational,110.0,,Vietnam,Bitexco Group,,,,,Vietnam,Hà Giang,Mèo Vạc,Pearl,23.13851,105.5261,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
1100,Nhon Trach 1 (Điện lực Dầu khí Nhơn Trạch),Gas,Operational,450.0,2008.0,Vietnam,Can Tho Thermal Power Company (CTTP),,,,,Vietnam,Đồng Nai,Nhơn Trạch,Song Saigon,10.64338,106.8401,,,Vietnam Electricity,https://www.industryabout.com/country-territories-3/2905-vietnam/fossil-fuels-energy/46719-nhon-trach-1-gas-power-plant,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,
1101,Nhon Trach 2 (Điện lực Dầu khí Nhơn Trạch),Gas,Operational,760.0,2011.0,Vietnam,Can Tho Thermal Power Company (CTTP),,,,,Vietnam,Đồng Nai,Nhơn Trạch,Song Saigon,10.64304,106.8386,,,Vietnam Electricity,https://www.industryabout.com/country-territories-3/2905-vietnam/fossil-fuels-energy/46565-nhon-trach-2-gas-power-plant,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,
1102,Nhon Trach Formosa,Coal,Operational,150.0,2004.0,"Taipei, Taiwan; Vietnam","Hung Nghiep Formosa Hà Tĩnh Steel Corporation (Taiwan, Vietnam)",,,,,Vietnam,Đồng Nai,Nhơn Trạch,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.73264,106.9354,,,Sourcewatch,https://www.sourcewatch.org/index.php/Nhon_Trach_Formosa_power_station,,
1103,"Nhà máy điện mặt trời thôn Vĩnh Nam, thôn Vĩnh Đông",Solar,Planned,50.0,2019.0,Vietnam,Cty CP Năng Lượng AMI Khánh Hòa,,,,,Vietnam,Khánh Hòa,Cam Lâm,Coastal Tributaries Khanh Hoa-Ninh Thuan,11.99218,109.1268,"Actual location unknown, currently sited at locality in link/announcement",,EVN,,,
1104,Nhà máy điện sinh khối Doosan - KCN Minh Hưng,Biomass,Operational,19.0,2015.0,South Korea,Doosan Corp,,,,,Vietnam,Bình Phước,Chơn Thành,Dong Nai,11.48841,106.6153,"Actual location unknown, currently sited at locality in link/announcement",,Sponsor Website,,https://www.eza-binhphuoc.gov.vn/index.php/khucongnghiep/kcn-minh-hung-han-quoc,12/21/2020
1105,Ninh Binh (Nhà máy nhiệt điện Ninh Bình),Coal,Operational,100.0,1974.0,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",,,,,Vietnam,Ninh Bình,Ninh Bình,Red Mainstem and Delta,20.25305,105.9836,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
1106,Ninh Binh 2 (Nhà máy nhiệt điện Ninh Bình mở rộng),Coal,Cancelled,330.0,2015.0,Vietnam,"Công ty Cổ phần Nhiệt điện Ninh Bình, SPV subsidiary of Vietnam Electricity (EVN)",Japan,JICA,Japan,JICB,Vietnam,Ninh Bình,Ninh Bình,Red Mainstem and Delta,20.25305,105.9836,"Actual location unknown, currently sited at locality in link/announcement",,Sourcewatch,https://www2.jica.go.jp/yen_loan/pdf/en/5506/20060403-2.pdf,,03/31/2021
1107,Noen Po Solar Power Plant,Solar,Operational,5.6,,Thailand,Gunkul Chubu Powergen Company Limited (Thailand),,,,,Thailand,Phichit,Sam Ngam,Yom,16.4348,100.1423,,7468.464,World Resources Institute,http://www.gunkul.com,,
1108,Nong Khae,Gas,Operational,126.0,2000.0,Thailand,"EGCO (Electricity Generating Public Company, Ltd.)",,,,,Thailand,Saraburi,Nong Khae,Chao Phraya-Ping,14.3406,100.8673,,515852.1,Carbon Monitoring for Action,http://www.egco.com/en/corperate_profile_busin_groupmap.asp,,
1109,Nong Khai 1 Solar Power Plant,Solar,Operational,7.4,2014.0,Thailand,Solar Power (Nong Khai 1) Company Limited (Thailand),,,,,Thailand,Bueng Kan,Bung Khong Long,Nam Songkhram,17.9447,104.0059,,9869.042,World Resources Institute,http://www.spcg.co.th/index.php/en/about,,
1110,Nong Khai Solar Farm,Solar,Operational,6.0,,Thailand,SPCG Public Company Limited (Thailand),,,,,Thailand,Bueng Kan,Bung Khong Long,Nam Songkhram,17.94465,104.0059,,,Wikipedia,,,
1111,Nong On Solar Power Plant,Solar,Operational,8.0,,Thailand,SSE-PV9 Project (Thailand),,,,,Thailand,Suphan Buri,U Thong,Tha Chin,14.3981,99.8313,,10669.23,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
1112,Nong Saeng,Gas,Operational,1600.0,2014.0,Japan,Gulf JP NS (owned by J-Power etc.),Japan; ADB,JBIC; ADB,,,Thailand,Saraburi,Nong Saeng,Chao Phraya-Ping,14.4417,100.7756,,6550502,World Resources Institute,http://www.jpower.co.jp/english/news_release/pdf/news140602.pdf,,
1113,Nong Seuam,Hydro,Operational,,,,,,,,,Laos,Vientiane [prefecture],Xaythany,Nam Ngum,18.13704,102.6561,,,WLE Mekong,https://wle-mekong.cgiar.org,,
1114,Nong Son (Nhà máy nhiệt điện Nông Sơn),Coal,Operational,30.0,2014.0,Vietnam,Vinamomin (Vietnam),,,,,Vietnam,Quảng Nam,Nông Sơn,Song Thu Bon Mainstem,15.71701,108.0315,,,Sourcewatch,https://www.sourcewatch.org/index.php/Nong_Son_power_station; http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
1115,Nongkrathum 4 Solar Power Plant,Solar,Operational,8.0,,Thailand,SSE-PV4 Project (Thailand),,,,,Thailand,Suphan Buri,Doembang Nangbua,Tha Chin,14.8735,99.8311,,10669.23,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
1116,Nongkrathum 5 Solar Power Plant,Solar,Operational,8.0,,Thailand,SSE-PV5 Project (Thailand),,,,,Thailand,Suphan Buri,Doembang Nangbua,Tha Chin,14.8735,99.8334,,10669.23,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
1117,Nongyasai Solar Power Plant,Solar,Operational,8.0,,Thailand,SSE-PV3 Project (Thailand),,,,,Thailand,Suphan Buri,Nong Ya Sai,Tha Chin,14.7697,99.9505,,10669.23,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects,,
1118,North Bangkok (Block 1-2,Gas,Operational,1552.3,2016.0,Thailand,EGAT (Thailand),,,,,Thailand,Nonthaburi,Bang Kruai,Chao Phraya-Ping,13.81253,100.5097,,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/index.php?option=com_content&view=article&id=39&Itemid=117,,
1119,North Bangkok Power Station,Gas,Operational,704.0,2010.0,Thailand,Electric Generating Authority of Thailand,,,,,Thailand,Nonthaburi,Bang Kruai,Chao Phraya-Ping,13.8129,100.5092,,2882221,GEODB,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=119,,
1120,Nuoc Trong,Hydro,Operational,16.5,2012.0,Vietnam,Nuoc Trong Hydropower JSC,,,,,Vietnam,Quảng Ngãi,Sơn Hà,Song Tra Khuc,15.0809,108.4118,,70000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nuoc-trong-Hydropower,,
1121,Nuozhadu,Hydro,Operational,5850.0,2012.0,China,‎Huaneng Lancang Hydropower Co Ltd,China,,China,China Huaneng Group; PowerChina,China,Yunnan,Pu'er,Mekong Mainstem - China,22.64419,100.4269,,,RCC Dams,,https://en.wikipedia.org/wiki/Nuozhadu_Dam,
1122,O Chum II,Hydro,Operational,1.0,,,,,,,,Cambodia,Ratanak Kiri,Ou Chum,Sesan,13.77233,106.9873,,,OpenDevelopment,,https://www.unescap.org/sites/default/files/Operationalizing%20NEXSTEP%20at%20national%20level%20_%20Cambodia_Mr.%20Sareth%20Nong.pdf,
1123,O Mon 1 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Operational,660.0,2015.0,Vietnam,EVN GENCO 2 - Vietnam Electricity (EVN),,,,,Vietnam,Cần Thơ,Ô Môn,Vietnam Mekong Delta,10.134916,105.669325,,1900000,EVN,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,https://www.evn.com.vn/d6/news/To-may-2-Nha-may-Nhiet-dien-O-Mon-I-Hoa-dien-lan-dau-vao-luoi-dien-quoc-gia-6-13-15584.aspx,
1124,O Mon 2 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050.0,2026.0,Vietnam; Japan,"EVN, Vietracimex-Marubeni",Vietnam; Japan,"EVN, Vietracimex, JICA",,,Vietnam,Cần Thơ,Ô Môn,Vietnam Mekong Delta,10.134916,105.669325,,,Media,https://www.adb.org/projects/43400-013/main; https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html; https://www.gem.wiki/O_Mon-II_power_station; https://www2.jica.go.jp/yen_loan/pdf/en/6313/20130325.pdf,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,03/31/2021
1125,O Mon 3 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050.0,2022.0,Vietnam,EVN,,,,,Vietnam,Cần Thơ,Ô Môn,Vietnam Mekong Delta,10.134916,105.669325,,,EVN,https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,12/21/2020
1126,O Mon 4 (Nhà Máy Nhiệt Điện Ô Môn),Gas,Planned,1050.0,2023.0,Vietnam,EVN,Germany; ADB,ADB; KfW(Germany),,,Vietnam,Cần Thơ,Ô Môn,Vietnam Mekong Delta,10.134916,105.669325,_x0008_,,EVN,https://baodautu.vn/du-an-nhiet-dien-o-mon-ii-nha-dau-tu-de-xuat-gia-dien-1102-uscentkwh-d123149.html; https://www.norwep.com/content/download/40625/297656/version/3/file/2.EVN-LNG+Norway+Embassy_D.pdf,https://www.thesaigontimes.vn/164876/nhiet-dien-o-mon-i-se-chuyen-sang-chay-khi.html,12/21/2020
